Date,Close,High,Low,Open,Volume
02/01/12,3602.495361,3615.095443,3568.745405,3606.395259,3861100
03/01/12,3700.795166,3705.195063,3623.845316,3623.845316,4631000
04/01/12,3695.045166,3717.894989,3681.745135,3706.045151,4948700
05/01/12,3696.14502,3718.745087,3682.495135,3694.69507,4686000
06/01/12,3694.795166,3720.945034,3651.095273,3682.045183,4823700
09/01/12,3701.295166,3710.645007,3664.395068,3698.04517,4921300
10/01/12,3785.345215,3790.345208,3717.095303,3717.095303,6199300
11/01/12,3805.495117,3816.195055,3785.295192,3792.795182,6898900
12/01/12,3797.39502,3822.495085,3775.795194,3794.595218,6325800
13/01/12,3827.194824,3850.894744,3806.694852,3814.094988,7398100
16/01/12,3833.144775,3836.944819,3798.644822,3815.244897,5507200
17/01/12,3899.994873,3907.794912,3849.94489,3849.94489,6545200
18/01/12,3881.794922,3910.194787,3868.244891,3905.744841,6751400
19/01/12,3931.944824,3934.544918,3903.444861,3903.444861,6380500
20/01/12,3952.694824,3963.094957,3922.494912,3946.444832,7274700
23/01/12,3952.694824,3968.194804,3939.394793,3939.99489,5613000
24/01/12,4016.894531,4026.094714,3955.444662,3962.844799,7986000
25/01/12,4051.794678,4058.044669,4025.694615,4030.044707,8441800
27/01/12,4085.344727,4090.244622,4059.59476,4083.644533,7298300
30/01/12,3995.794922,4062.944738,3987.944834,4062.944738,6725700
31/01/12,4082.844727,4092.694567,4016.494716,4016.494716,6834200
01/02/12,4117.544434,4122.244623,4062.244701,4082.244675,8235600
02/02/12,4146.544434,4162.994608,4109.244677,4137.394543,10291900
03/02/12,4188.444824,4194.544426,4139.244692,4149.894581,7276800
06/02/12,4227.094727,4251.494598,4201.994661,4217.744641,8712000
07/02/12,4199.044434,4254.994557,4189.494641,4254.994557,7487900
08/02/12,4232.744629,4251.494605,4199.544476,4203.894568,8043600
09/02/12,4272.394531,4277.84472,4219.194891,4219.194891,8695600
10/02/12,4258.394531,4294.544388,4225.594768,4265.544425,8581200
13/02/12,4264.794434,4281.694803,4237.344761,4258.544441,6550200
14/02/12,4289.494141,4295.994132,4259.543986,4259.543986,8287100
15/02/12,4381.444336,4388.494131,4313.894133,4313.894133,11635200
16/02/12,4385.894043,4392.543936,4354.293988,4371.444355,10836800
17/02/12,4414.043945,4454.594184,4399.644062,4414.49414,12930600
21/02/12,4447.494141,4456.444324,4412.793991,4412.793991,9781300
22/02/12,4340.844238,4465.243973,4329.844253,4448.993995,11611100
23/02/12,4322.894043,4360.543894,4294.344277,4332.39403,11291600
24/02/12,4284.543945,4355.494044,4265.444362,4320.643994,9472600
